continent-AFR,,Africa
country-NG,continent-AFR,Nigeria
country-SN,continent-AFR,Senegal
country-TZ,continent-AFR,Tanzania
level1-NG_1_006,country-NG,Bayelsa
level1-NG_1_007,country-NG,Benue
level1-NG_1_008,country-NG,Borno
level1-NG_1_009,country-NG,Cross River
level1-NG_1_010,country-NG,Delta
level1-NG_1_011,country-NG,Ebonyi
level1-NG_1_012,country-NG,Edo
level1-NG_1_013,country-NG,Ekiti
level1-NG_1_014,country-NG,Enugu
level1-NG_1_015,country-NG,Federal Capital Territory
level1-NG_1_016,country-NG,Gombe
level1-NG_1_017,country-NG,Imo
level1-NG_1_018,country-NG,Jigawa
level1-NG_1_019,country-NG,Kaduna
level1-NG_1_020,country-NG,Kano
level1-NG_1_021,country-NG,Katsina
level1-NG_1_022,country-NG,Kebbi
level1-NG_1_023,country-NG,Kogi
level1-NG_1_024,country-NG,Kwara
level1-NG_1_025,country-NG,Lagos
level1-NG_1_026,country-NG,Nasarawa
level1-NG_1_027,country-NG,Niger
level1-NG_1_028,country-NG,Ogun
level1-NG_1_029,country-NG,Ondo
level1-NG_1_030,country-NG,Osun
level1-NG_1_031,country-NG,Oyo
level1-NG_1_032,country-NG,Plateau
level1-NG_1_033,country-NG,Rivers
level1-NG_1_034,country-NG,Sokoto
level1-NG_1_035,country-NG,Taraba
level1-NG_1_036,country-NG,Yobe
level1-NG_1_037,country-NG,Zamfara
level1-SN_1_001,country-SN,Dakar
level1-SN_1_002,country-SN,Diourbel
level1-SN_1_003,country-SN,Fatick
level1-SN_1_004,country-SN,Kaffrine
level1-SN_1_005,country-SN,Kaolack
level1-SN_1_006,country-SN,Kedougou
level1-SN_1_007,country-SN,Kolda
level1-SN_1_008,country-SN,Louga
level1-SN_1_009,country-SN,Matam
level1-SN_1_010,country-SN,Saint Louis
level1-SN_1_011,country-SN,Sedhiou
level1-SN_1_012,country-SN,Tambacounda
level1-SN_1_013,country-SN,Thies
level1-SN_1_014,country-SN,Ziguinchor
level1-TZ_1_022,country-TZ,Pwani
level1-TZ_1_026,country-TZ,Simiyu
level1-TZ_1_004,country-TZ,Geita
level1-TZ_1_027,country-TZ,Singida
level1-TZ_1_005,country-TZ,Iringa
level1-TZ_1_023,country-TZ,Rukwa
level1-TZ_1_006,country-TZ,Kagera
level1-TZ_1_010,country-TZ,Kigoma
level1-TZ_1_014,country-TZ,Lindi
level1-TZ_1_002,country-TZ,Dar es salaam
level1-TZ_1_003,country-TZ,Dodoma
level1-TZ_1_028,country-TZ,Tanga
level1-TZ_1_019,country-TZ,Mtwara
level1-TZ_1_021,country-TZ,Njombe
level1-TZ_1_029,country-TZ,Tabora
level1-TZ_1_011,country-TZ,Kilimanjaro
level1-TZ_1_025,country-TZ,Shinyanga
level1-TZ_1_016,country-TZ,Mara
level1-TZ_1_024,country-TZ,Ruvuma
level1-TZ_1_020,country-TZ,Mwanza
level1-TZ_1_017,country-TZ,Mbeya
level1-TZ_1_001,country-TZ,Arusha
level1-TZ_1_018,country-TZ,Morogoro
level1-TZ_1_009,country-TZ,Katavi
level1-TZ_1_015,country-TZ,Manyara
level1-TZ_1_012,country-TZ,Kusini Pemba
level1-TZ_1_008,country-TZ,Kaskazini Unguja
level1-TZ_1_013,country-TZ,Kusini Unguja
level1-TZ_1_030,country-TZ,Mjini Magharibi
level1-TZ_1_007,country-TZ,Kaskazini Pemba
level1-NG_1_001,country-NG,Abia
level1-NG_1_002,country-NG,Adamawa
level1-NG_1_003,country-NG,Akwa Ibom
level1-NG_1_004,country-NG,Anambra
level1-NG_1_005,country-NG,Bauchi
level1-KE_1_020,country-KE,Kirinyaga
level1-KE_1_021,country-KE,Murang'a
level1-KE_1_018,country-KE,Nyandarua
level1-KE_1_019,country-KE,Nyeri
level1-KE_1_024,country-KE,West Pokot
level1-KE_1_025,country-KE,Samburu
level1-KE_1_022,country-KE,Kiambu
level1-KE_1_023,country-KE,Turkana
level1-KE_1_028,country-KE,Elgeyo-Marakwet
level1-KE_1_029,country-KE,Nandi
level1-KE_1_026,country-KE,Trans-Nzoia
level1-KE_1_027,country-KE,Uasin Gishu
level1-KE_1_032,country-KE,Nakuru
level1-KE_1_033,country-KE,Narok
level1-KE_1_030,country-KE,Baringo
level1-KE_1_031,country-KE,Laikipia
level1-KE_1_036,country-KE,Bomet
level1-KE_1_037,country-KE,Kakamega
level1-KE_1_034,country-KE,Kajiado
level1-KE_1_035,country-KE,Kericho
level1-KE_1_040,country-KE,Busia
level1-KE_1_041,country-KE,Siaya
level1-KE_1_038,country-KE,Vihiga
level1-KE_1_039,country-KE,Bungoma
level1-KE_1_044,country-KE,Migori
level1-KE_1_045,country-KE,Kisii
level1-KE_1_042,country-KE,Kisumu
level1-KE_1_043,country-KE,Homa Bay
level1-KE_1_046,country-KE,Nyamira
level1-KE_1_047,country-KE,Nairobi
country-KE,continent-AFR,Kenya
